;Score
Modularity;3.0
Reusability;3.1666666666666665
Analysability;3.1666666666666665
Changeability;3.4285714285714284
"Modification
Stability";4.0
Testability;3.1666666666666665
Modularity;3.0
Reusability;3.6666666666666665
Analysability;3.6666666666666665
Changeability;3.857142857142857
"Modification
Stability";4.2
Testability;3.6666666666666665
Modularity;3.0
Reusability;2.8333333333333335
Analysability;3.0
Changeability;3.142857142857143
"Modification
Stability";3.2
Testability;3.0
Modularity;3.0
Reusability;3.6666666666666665
Analysability;3.6666666666666665
Changeability;3.857142857142857
"Modification
Stability";4.2
Testability;3.6666666666666665
Modularity;3.0
Reusability;3.5
Analysability;3.5
Changeability;3.7142857142857144
"Modification
Stability";4.2
Testability;3.5
Modularity;3.0
Reusability;2.6666666666666665
Analysability;3.0
Changeability;3.0
"Modification
Stability";3.0
Testability;3.0
Modularity;3.0
Reusability;3.6666666666666665
Analysability;3.6666666666666665
Changeability;3.857142857142857
"Modification
Stability";4.2
Testability;3.6666666666666665
Modularity;3.0
Reusability;3.6666666666666665
Analysability;3.6666666666666665
Changeability;3.857142857142857
"Modification
Stability";4.2
Testability;3.6666666666666665
Modularity;3.0
Reusability;3.0
Analysability;3.0
Changeability;3.2857142857142856
"Modification
Stability";3.4
Testability;3.0
Modularity;3.0
Reusability;3.3333333333333335
Analysability;3.5
Changeability;3.5714285714285716
"Modification
Stability";4.0
Testability;3.5
Modularity;5.0
Reusability;4.333333333333333
Analysability;4.333333333333333
Changeability;4.428571428571429
"Modification
Stability";5.0
Testability;4.333333333333333
Modularity;5.0
Reusability;4.166666666666667
Analysability;4.333333333333333
Changeability;4.285714285714286
"Modification
Stability";4.8
Testability;4.333333333333333
Modularity;2.0
Reusability;3.5
Analysability;3.1666666666666665
Changeability;3.4285714285714284
"Modification
Stability";3.4
Testability;3.1666666666666665
Modularity;3.0
Reusability;3.6666666666666665
Analysability;3.5
Changeability;3.5714285714285716
"Modification
Stability";3.6
Testability;3.5
Modularity;3.0
Reusability;3.0
Analysability;3.6666666666666665
Changeability;3.2857142857142856
"Modification
Stability";3.4
Testability;3.6666666666666665
Modularity;3.0
Reusability;3.3333333333333335
Analysability;3.3333333333333335
Changeability;3.5714285714285716
"Modification
Stability";4.0
Testability;3.3333333333333335
Modularity;3.0
Reusability;3.5
Analysability;3.6666666666666665
Changeability;3.7142857142857144
"Modification
Stability";4.0
Testability;3.6666666666666665
Modularity;3.0
Reusability;3.0
Analysability;3.6666666666666665
Changeability;3.2857142857142856
"Modification
Stability";3.4
Testability;3.6666666666666665
Modularity;5.0
Reusability;4.166666666666667
Analysability;4.333333333333333
Changeability;4.285714285714286
"Modification
Stability";4.8
Testability;4.333333333333333
Modularity;5.0
Reusability;4.0
Analysability;4.0
Changeability;4.142857142857143
"Modification
Stability";4.8
Testability;4.0
Modularity;5.0
Reusability;4.166666666666667
Analysability;4.333333333333333
Changeability;4.285714285714286
"Modification
Stability";4.8
Testability;4.333333333333333
Modularity;3.0
Reusability;3.6666666666666665
Analysability;3.6666666666666665
Changeability;3.857142857142857
"Modification
Stability";4.2
Testability;3.6666666666666665
Modularity;3.0
Reusability;3.6666666666666665
Analysability;3.6666666666666665
Changeability;3.857142857142857
"Modification
Stability";4.2
Testability;3.6666666666666665
Modularity;3.0
Reusability;4.333333333333333
Analysability;4.333333333333333
Changeability;4.428571428571429
"Modification
Stability";4.2
Testability;4.333333333333333
Modularity;3.0
Reusability;3.0
Analysability;3.6666666666666665
Changeability;3.2857142857142856
"Modification
Stability";3.4
Testability;3.6666666666666665
Modularity;5.0
Reusability;4.0
Analysability;4.0
Changeability;4.142857142857143
"Modification
Stability";4.8
Testability;4.0
Modularity;5.0
Reusability;4.333333333333333
Analysability;4.333333333333333
Changeability;4.428571428571429
"Modification
Stability";5.0
Testability;4.333333333333333
Modularity;3.0
Reusability;2.6666666666666665
Analysability;3.0
Changeability;3.0
"Modification
Stability";3.0
Testability;3.0
Modularity;3.0
Reusability;3.6666666666666665
Analysability;3.6666666666666665
Changeability;3.857142857142857
"Modification
Stability";4.2
Testability;3.6666666666666665
Modularity;5.0
Reusability;4.666666666666667
Analysability;4.666666666666667
Changeability;4.714285714285714
"Modification
Stability";4.8
Testability;4.666666666666667
Modularity;3.0
Reusability;3.6666666666666665
Analysability;3.6666666666666665
Changeability;3.857142857142857
"Modification
Stability";4.2
Testability;3.6666666666666665
Modularity;3.0
Reusability;3.6666666666666665
Analysability;3.6666666666666665
Changeability;3.857142857142857
"Modification
Stability";4.2
Testability;3.6666666666666665
Modularity;3.0
Reusability;3.5
Analysability;3.6666666666666665
Changeability;3.7142857142857144
"Modification
Stability";4.0
Testability;3.6666666666666665
Modularity;3.0
Reusability;3.5
Analysability;3.6666666666666665
Changeability;3.7142857142857144
"Modification
Stability";4.0
Testability;3.6666666666666665
Modularity;3.0
Reusability;2.8333333333333335
Analysability;3.0
Changeability;3.142857142857143
"Modification
Stability";3.2
Testability;3.0
Modularity;3.0
Reusability;3.0
Analysability;3.0
Changeability;3.2857142857142856
"Modification
Stability";3.4
Testability;3.0
